Location,Type,Species,height,length,dryweight,wetwet,strength
w1,red.algae,a,0.394663095,2.158711874,0.956073936,2.459003798,2.993355157
w1,red.algae,a,0.018943298,1.975675727,0.065499777,1.963800456,2.756726384
w1,red.algae,a,0.69750518,4.719034824,0.199554047,2.240175483,2.252360245
w1,red.algae,a,0.13909552,2.002216301,0.46717917,1.5343784,2.310011661
w1,red.algae,a,0.376779659,4.409152881,0.978118101,2.102293285,2.334597887
w2,red.algae,a,0.076726289,0.572299057,0.100135914,1.60704326,
w2,red.algae,a,0.932547051,0.838706726,0.564210771,1.752302541,2.472866529
w2,red.algae,a,0.061667708,4.623702135,0.251550808,1.723370072,2.635546813
w2,red.algae,a,0.991095428,4.080062993,0.253674813,1.708710307,2.521458416
w2,red.algae,a,0.314388081,2.125536756,0.125002139,2.136809031,2.580392619
w1,red.algae,b,0.097585252,3.357874252,0.869365552,2.414526081,2.691374241
w1,red.algae,b,0.552332348,1.064950886,0.165501605,2.050220592,2.029372137
w1,red.algae,b,0.206535663,4.05983568,0.258339843,1.645955779,2.187138777
w1,red.algae,b,0.728662428,2.826304042,0.280560775,1.557168067,2.388380335
w1,red.algae,b,0.177905253,4.732794149,0.072437883,1.991232258,2.784412944
w2,red.algae,b,0.907238116,0.2420607,0.349545212,,2.036882064
w2,red.algae,b,0.782051303,4.952121906,0.549165823,1.981183992,2.927794069
w2,red.algae,b,0.226824437,2.86312483,0.058869816,1.975185369,2.92774191
w2,red.algae,b,0.185044926,1.987949403,0.493532118,2.066011712,2.133554605
w2,red.algae,b,0.26065981,3.720708947,0.406089809,1.994179247,2.073020881
w1,green.algae,c,0.393375132,2.536425079,0.388677202,2.445961447,2.961043152
w1,green.algae,c,0.701393298,2.842931272,0.394422751,2.088874263,2.37939668
w1,green.algae,c,0.328460302,1.989241835,0.400168299,1.77920302,2.49513195
w1,green.algae,c,0.163366866,4.494988471,0.405913848,1.986065472,2.341330731
w1,green.algae,c,0.072579156,1.838849632,0.411659397,1.932280702,2.664519988
w2,green.algae,c,0.989187096,3.013601211,0.417404946,2.03915241,2.325845015
w2,green.algae,c,0.964459299,0.181311238,0.423150495,1.756403532,2.869439975
w2,green.algae,c,0.705353805,1.195805969,0.428896043,1.78329,2.377488027
w2,green.algae,c,0.001542217,1.393195831,0.434641592,2.141538654,2.159532436
w2,green.algae,c,0.522366705,4.562059681,0.440387141,2.208478622,2.049820515
w1,green.algae,d,0.311110982,3.370661421,0.44613269,1.556002192,2.06451104
w1,green.algae,d,0.676765346,3.207769493,0.451878239,2.339309573,
w1,green.algae,d,0.710169129,4.393280912,0.457623787,2.299711538,2.446277076
w1,green.algae,d,0.051757738,3.431888374,0.463369336,1.718857801,2.368308897
w1,green.algae,d,0.831648869,4.110821949,0.469114885,2.45285711,2.748971113
w2,green.algae,d,0.447276873,3.396646976,0.474860434,1.965143496,2.227308419
w2,green.algae,d,0.612694657,2.121899936,0.480605983,1.913496662,2.732879105
w2,green.algae,d,0.114498536,3.296634234,0.486351531,1.730640639,2.474786776
w2,green.algae,d,0.339822707,3.920438774,0.49209708,2.053134323,2.794070674
w2,green.algae,d,0.936740792,2.214759168,0.497842629,2.089882871,2.444882357
w1,brown.algae,e,0.586009471,0.804959708,0.388677202,1.978177712,2.028980968
w1,brown.algae,e,0.639199225,0.572199827,0.394422751,1.638680665,2.399725727
w1,brown.algae,e,0.955695583,4.037511208,0.400168299,1.783613332,2.899004505
w1,brown.algae,e,0.741083211,0.873692441,0.405913848,2.252286242,2.192960274
w1,brown.algae,e,0.023525785,3.125124009,0.411659397,2.032740603,2.334401009_
w2,brown.algae,e,0.319032705,4.60077688,0.417404946,2.482524278,2.873918804
w2,brown.algae,e,0.398883306,3.897838825,0.423150495,1.772928578,2.705263132
w2,brown.algae,e,0.925386085,4.891931394,0.428896043,1.82070725,2.110271221
w2,brown.algae,e,0.110476729,1.150858983,0.434641592,2.433941566,2.034395334
w2,brown.algae,e,0.232451672,1.517932955,0.440387141,1.563402545,2.89681221
w1,brown.algae,f,0.286071202,0.293884419,0.44613269,2.466671832,2.810066695
w1,brown.algae,f,0.882074309,3.425953115,0.451878239,2.247301227,2.285852979
w1,brown.algae,f,0.086384321,0.662645179,0.457623787,1.5906861,2.391348219
w1,brown.algae,f,0.300017612,3.969053819,0.463369336,1.728291773,2.773608572
w1,brown.algae,f,0.427349597,3.233237802,0.469114885,2.366759669,2.408487068
w2,brown.algae,f,0.543653828,4.603541365,0.474860434,2.41704984,2.73706513
w2,brown.algae,f,0.882342531,1.15181447,0.480605983,2.164719846,2.56992426
w2,brown.algae,f,0.858930911,1.71123403,0.486351531,1.871005463,2.889949678
w2,brown.algae,f,0.267885839,3.030529996,0.49209708,1.867785593,2.881276301
w2,brown.algae,f,0.073118972,2.948583875,0.497842629,1.702413992,2.494410322
