Habitat,Day-night,Sample,Peramphithoe_parmerong,Ampithoe_caddi,Ampithoe_kava,Ampithoe_ngana,Cymadusa_munnu,Exampithoe_kutti,Plumithoe_quadrimanus
Colpomenia_peregrina,D,CP1D1,0,0,0,0,0,5,6
Colpomenia_peregrina,D,CP2D1,0,0,0,0,6,2,16
Colpomenia_peregrina,D,CP3D1,0,0,0,0,1,0,37
Colpomenia_peregrina,D,CP4D1,0,0,0,0,0,3,10
Colpomenia_peregrina,D,CP5D1,0,0,0,0,0,0,2
Colpomenia_peregrina,N,CP1N1,0,2,0,12,0,1,18
Colpomenia_peregrina,N,CP2N1,0,0,0,0,0,1,0
Colpomenia_peregrina,N,CP3N1,0,3,0,0,0,1,31
Colpomenia_peregrina,N,CP4N1,0,2,1,1,4,0,6
Colpomenia_peregrina,N,CP5N1,0,0,0,1,0,1,6
Colpomenia_peregrina,D,CP1D2,0,0,1,0,0,2,13
Colpomenia_peregrina,D,CP2D2,0,0,1,0,6,0,12
Colpomenia_peregrina,D,CP3D2,0,1,0,3,4,2,21
Colpomenia_peregrina,D,CP4D2,1,0,0,0,0,3,33
Colpomenia_peregrina,D,CP5D2,0,1,0,0,0,1,2
Colpomenia_peregrina,N,CP1N2,0,0,0,0,0,2,2
Colpomenia_peregrina,N,CP2N2,0,0,0,0,1,1,9
Colpomenia_peregrina,N,CP3N2,0,0,0,1,1,1,16
Colpomenia_peregrina,N,CP4N2,0,0,0,0,0,2,12
Colpomenia_peregrina,N,CP5N2,0,0,0,3,0,1,50
Dictyopteris_acrostichoides,D,DA1D1,0,19,37,21,0,25,0
Dictyopteris_acrostichoides,D,DA2D1,0,112,51,30,0,30,0
Dictyopteris_acrostichoides,D,DA3D1,0,19,9,15,0,12,0
Dictyopteris_acrostichoides,D,DA4D1,4,13,5,8,0,18,0
Dictyopteris_acrostichoides,D,DA5D1,0,10,1,3,0,16,0
Dictyopteris_acrostichoides,N,DA1N1,0,18,5,1,0,38,0
Dictyopteris_acrostichoides,N,DA2N1,1,95,31,43,0,167,0
Dictyopteris_acrostichoides,N,DA3N1,0,48,27,19,0,95,0
Dictyopteris_acrostichoides,N,DA4N1,0,21,1,2,0,71,0
Dictyopteris_acrostichoides,N,DA5N1,0,179,159,135,0,166,0
Dictyopteris_acrostichoides,D,DA1D2,1,37,9,42,0,58,0
Dictyopteris_acrostichoides,D,DA2D2,0,145,36,34,0,66,0
Dictyopteris_acrostichoides,D,DA3D2,1,76,68,29,0,123,0
Dictyopteris_acrostichoides,D,DA4D2,1,30,21,37,0,18,0
Dictyopteris_acrostichoides,D,DA5D2,0,30,9,7,0,21,0
Dictyopteris_acrostichoides,N,DA1N2,0,49,22,105,0,79,0
Dictyopteris_acrostichoides,N,DA2N2,0,12,3,3,0,33,0
Dictyopteris_acrostichoides,N,DA3N2,0,6,0,0,0,4,0
Dictyopteris_acrostichoides,N,DA4N2,0,35,2,6,0,37,0
Dictyopteris_acrostichoides,N,DA4N2,0,8,3,2,0,8,0
Sargassum_linearifolium,D,SL1D1,69,23,127,103,0,6,0
Sargassum_linearifolium,D,SL2D1,23,24,34,17,0,23,0
Sargassum_linearifolium,D,SL3D1,56,22,34,54,0,4,0
Sargassum_linearifolium,D,SL4D1,43,42,123,136,0,7,0
Sargassum_linearifolium,D,SL5D1,17,58,63,70,0,12,0
Sargassum_linearifolium,N,SL1N1,17,160,64,94,0,7,0
Sargassum_linearifolium,N,SL2N1,50,24,44,90,0,4,0
Sargassum_linearifolium,N,SL3N1,47,45,70,102,0,5,0
Sargassum_linearifolium,N,SL4N1,22,9,24,93,0,6,0
Sargassum_linearifolium,N,SL5N1,20,9,71,97,0,2,0
Sargassum_linearifolium,D,SL1D2,16,0,9,57,0,7,0
Sargassum_linearifolium,D,SL2D2,8,33,21,23,0,7,0
Sargassum_linearifolium,D,SL3D2,3,4,9,4,0,0,0
Sargassum_linearifolium,D,SL4D2,26,14,8,5,0,18,0
Sargassum_linearifolium,D,SL5D2,5,5,42,84,0,4,0
Sargassum_linearifolium,N,SL1N2,3,17,21,89,0,3,0
Sargassum_linearifolium,N,SL2N2,23,43,36,60,0,23,0
Sargassum_linearifolium,N,SL3N2,13,25,65,103,0,4,0
Sargassum_linearifolium,N,SL4N2,96,11,28,73,0,9,0
Sargassum_linearifolium,N,SL5N2,45,27,29,38,0,10,0
Sargassum_vestitum,D,SV1D1,30,1,6,3,0,2,0
Sargassum_vestitum,D,SV2D1,56,10,22,11,0,0,0
Sargassum_vestitum,D,SV3D1,60,8,12,5,0,0,0
Sargassum_vestitum,D,SV4D1,31,5,16,19,0,0,0
Sargassum_vestitum,D,SV5D1,24,1,8,1,0,8,0
Sargassum_vestitum,N,SV1N1,44,5,15,5,0,5,0
Sargassum_vestitum,N,SV2N1,18,1,1,0,0,0,0
Sargassum_vestitum,N,SV3N1,42,13,3,0,0,0,0
Sargassum_vestitum,N,SV4N1,20,20,31,4,0,4,0
Sargassum_vestitum,N,SV5N1,13,5,23,10,0,4,0
Sargassum_vestitum,D,SV1D2,23,1,2,1,0,1,0
Sargassum_vestitum,D,SV2D2,13,0,2,4,0,3,0
Sargassum_vestitum,D,SV3D2,3,0,1,1,0,0,0
Sargassum_vestitum,D,SV4D2,9,14,10,6,0,2,0
Sargassum_vestitum,D,SV5D2,5,0,1,1,0,0,0
Sargassum_vestitum,N,SV1N2,45,0,0,3,0,0,0
Sargassum_vestitum,N,SV2N2,16,1,1,0,0,0,0
Sargassum_vestitum,N,SV3N2,16,7,10,4,0,0,0
Sargassum_vestitum,N,SV4N2,9,1,0,0,0,0,0
Sargassum_vestitum,N,SV5N2,2,0,0,0,0,0,0
Zonaria_diesingiana,D,ZD1D1,0,14,8,59,0,43,0
Zonaria_diesingiana,D,ZD2D1,0,2,4,22,0,0,0
Zonaria_diesingiana,D,ZD3D1,0,0,0,23,0,2,0
Zonaria_diesingiana,D,ZD4D1,0,0,3,9,0,1,0
Zonaria_diesingiana,D,ZD5D1,0,5,13,12,0,7,0
Zonaria_diesingiana,N,ZD1N1,0,10,0,40,0,19,0
Zonaria_diesingiana,N,ZD2N1,0,0,0,43,0,6,0
Zonaria_diesingiana,N,ZD3N1,0,2,0,61,0,11,4
Zonaria_diesingiana,N,ZD4N1,0,5,0,19,0,6,0
Zonaria_diesingiana,N,ZD5N1,0,3,4,17,0,2,0
Zonaria_diesingiana,D,ZD1D2,0,1,10,33,0,6,6
Zonaria_diesingiana,D,ZD2D2,0,0,0,10,0,10,0
Zonaria_diesingiana,D,ZD3D2,0,0,4,30,0,7,0
Zonaria_diesingiana,D,ZD4D2,0,0,0,4,0,1,8
Zonaria_diesingiana,D,ZD5D2,0,3,0,42,0,0,1
Zonaria_diesingiana,N,ZD1N2,0,14,2,36,2,18,0
Zonaria_diesingiana,N,ZD2N2,0,8,13,50,0,5,7
Zonaria_diesingiana,N,ZD3N2,0,4,1,28,0,1,0
Zonaria_diesingiana,N,ZD4N2,0,4,0,10,0,4,0
Zonaria_diesingiana,N,ZD5N2,0,3,0,49,0,14,0
